Rank,Team Name,Score Ranking
1,OhioState,60.32730640906943
2,LSU,52.58465029029137
3,Clemson,50.52125599421243
4,Alabama,47.377478598684775
5,Wisconsin,45.387632376498665
6,PennState,42.84276046651789
7,Oregon,42.82011089653081
8,Georgia,41.39087139187368
9,Auburn,40.81134651678865
10,Florida,40.14747537316665
11,Oklahoma,39.56068252464273
12,Michigan,38.88999403743253
13,NotreDame,38.3422558999125
14,Utah,37.42000836887042
15,Minnesota,36.66662589156952
16,Iowa,35.261307001582225
17,Baylor,34.88683494017447
18,Washington,34.08865702831216
19,Texas,34.0179905170303
20,MinnesotaU,32.74758636534413
21,IowaState,31.05628590017488
22,CentralFlorida,30.87569804477129
23,Memphis,30.344457385169093
24,TexasA&M,30.249900375443918
25,Navy,29.696786565215373
26,KansasState,29.420771242895174
27,OklahomaState,28.953134593456042
28,USC,27.91306044483587
29,CincinnatiU,26.657779663043492
30,TCU,26.272517949595805
31,AppalachianSt,26.25554787242456
32,AirForce,25.495311021532483
33,Indiana,25.458500663694288
34,MichiganState,25.231405339733676
35,Kentucky,25.219213847716176
36,NorthCarolina,25.051262454244963
37,WashingtonState,25.04661354900956
38,BoiseState,24.58938799688227
39,ULLafayette,24.062350330263637
40,ArizonaState,24.055588310831546
41,Cincinnati,23.83275510631767
42,Missouri,23.754114245903256
43,Nebraska,23.44908039130267
44,MississippiState,23.358773691103448
45,FloridaAtlantic,23.24254177261739
46,TennesseeU,23.219279315113543
47,SMU,23.085471565235906
48,Virginia,22.91737128282915
49,Mississippi,22.82209894610863
50,SouthCarolina,22.377147323441438
51,NorthDakotaState,22.22364809349358
52,MontanaState,21.66881492969433
53,California,21.47938572131997
54,TexasTech,21.384283107156804
55,Tulane,21.010175279741144
56,OregonState,20.821014361694814
57,FloridaInternational,20.461003869408746
58,Tennessee,20.072492818888467
59,MiamiFlorida,19.737370398377056
60,Louisville,18.866234340080645
61,Purdue,18.76942466333989
62,WakeForest,18.69079206034185
63,JamesMadison,18.45106764932063
64,Illinois,18.443831132931237
65,N.CarolinaAT,18.423337294121453
66,MiddleTennesseeState,18.28892271967084
67,VirginiaTech,18.170446981797905
68,NoDakotaState,18.03941499815778
69,FloridaState,17.99472712863777
70,Stanford,16.9907125024105
71,WestVirginia,16.973400715364875
72,SanDiegoState,16.825071268439526
73,PittsburghU,16.523674807808106
74,Wyoming,16.52315844023751
75,Tulsa,16.37930940636391
76,Colorado,15.974262858293693
77,Northwestern,15.889420650207802
78,UCLA,15.721711549802286
79,BYU,15.719349000567902
80,Hawaii,15.12732744015201
81,Houston,14.978601548155455
82,BostonCollege,13.790304686441969
83,BuffaloU,13.31716384880624
84,WesternMichigan,13.050990575461329
