Team 1,Team 2,Score
Florida,MiamiFlorida,4
Arizona,Hawaii,-7
Villanova,Colgate,20
YoungstownSt,Samford,23
UCLA,CincinnatiU,-10
GeorgiaTech,Clemson,-38
FloridaIntl,Tulane,-28
TexasState,TexasA&M,-34
KentState,ArizonaState,-23
Utah,BYU,18
Albany,CentralMichigan,-17
Wagner,Connecticut,-3
RobertMorris,BuffaloU,-28
MorganSt,BowlingGreen,-43
FloridaA&M,CentralFlorida,-62
GardnerWebb,Charlotte,-21
CentralArkansas,WesternKentucky,7
AlabamaSt,UAB,-5
SouthDakotaSt,MinnesotaU,-7
NO.Colorado,SanJoseState,-17
DelawareSt,Delaware,-18
Valparaiso,EasternKentucky,-46
Jacksonville,Richmond,-19
EasternIllinois,Chattanooga,-14
Bryant,StonyBrook,-25
NorthwesternSt,TennesseeMartin,-22
SoIllinois,SEMissouriSt,-18
NCCentral,AustinPeay,-31
WesternIllinois,NorthAlabama,-9
JacksonvilleSt,SELouisiana,-21
MissouriSt,NorthernArizona,-14
Rice,Army,-7
UtahState,WakeForest,-3
Wisconsin,SouthFlorida,49
Tulsa,MichiganState,-21
Massachusetts,Rutgers,-27
ColoradoState,Colorado,-21
Purdue,Nevada,-3
OklahomaState,OregonState,16
SacredHeart,Maine,-28
FloridaAtlantic,OhioState,-24
SouthAlabama,Nebraska,-14
EastCarolina,NCState,-28
Akron,Illinois,-39
BallState,Indiana,-10
Toledo,Kentucky,-14
MississippiState,ULLafayette,10
Mississippi,Memphis,-5
GeorgiaState,TennesseeU,8
EasternMichigan,CoastalCarolina,7
SouthCarolina,NorthCarolina,-4
Duke,Alabama,-39
Northwestern,Stanford,-10
VirginiaTech,BostonCollege,-7
Syracuse,Liberty,24
SMU,ArkansasState,7
MiddleTennSt,Michigan,-19
MiamiOhio,Iowa,-24
GeorgiaSouthern,LSU,-52
Georgia,Vanderbilt,24
Virginia,PittsburghU,16
Missouri,Wyoming,-6
Oregon,Auburn,-6
LouisianaTech,Texas,-31
NewMexicoState,WashingtonState,-51
FresnoState,USC,-8
Howard,Maryland,-79
IndianaSt,Kansas,-7
NorthernIowa,IowaState,-3
JamesMadison,WestVirginia,-7
RhodeIsland,Ohio,-21
Bucknell,Temple,-44
EastWashington,Washington,-33
HolyCross,Navy,-38
Idaho,PennState,-72
EastTennesseeSt,AppalachianSt,-35
Colgate,AirForce,-41
MontanaSt,TexasTech,-35
PortlandSt,Arkansas,-7
Campbell,Troy,-29
SamHoustonSt,NewMexico,-8
IncarnateWord,TexSanAntonio,-28
VMI,Marshall,-39
UCDavis,California,-14
NorfolkSt,OldDominion,-3
Monmouth,WesternMichigan,-35
NichollsSt,KansasState,-35
IllinoisSt,NoIllinois,-14
AlcornSt,SouthernMiss,-28
StephenF.Austin,Baylor,-39
AbileneChristian,NorthTexas,-20
ArkPineBluff,TCU,-32
Grambling,ULMonroe,-22
HoustonBaptist,UTEP,-2
WeberSt,SanDiegoState,-6
SouthernUtah,UNLV,-33
BoiseState,FloridaState,5
St.Francis(PA),Lehigh,1
CharlestonSou,Furman,-33
Georgetown,Davidson,-7
Towson,TheCitadel,7
Montana,SouthDakota,14
Butler,NoDakotaState,-47
